Název provozovatele,B/H - IČ provozovatele (u fyzické osoby pokud bylo přiděleno),C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - ulice,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - PSČ,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - obec,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - okres,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - kraj,"C/CH - datová schránka, má-li ji subjekt zřízenou",D - předmět činnosti,E - právní forma,G - datum narození provozovatele - fyzické osoby,I - NÁZEV KNIHOVNY,R - EVIDENČNÍ ČÍSLO KNIHOVNY,J - druh knihovny,Kategorie - pomocný sloupec,K - adresa knihovny: ulice,K - adresa knihovny: PSČ,K - adresa knihovny: město,K - adresa knihovny: okres,K - adresa knihovny: kraj,M - emailový kontakt na autora záznamu,N - e-mailový kontakt na knihovnu,"O - odkaz na webovou stránku knihovny, respektive odkaz na informace o knihovně na webových stránkách provozovatele",P - provozní doba knihovny,Q - další informace,X - sigla,S - datum vytvoření záznamu,T - datum evidence knihovny,XXT - schvalovatel záznamu,U - datum aktualizace záznamu,XXU - schvalovatel aktualizace záznamu,aktivní / zrušená (vyřazená z evidence),V - datum vyřazení,XXV - vyřadil z evidence,W - důvod vyřazení z evidence,Y - číslo jednací,Poznámka
Obec Jeníkov,654744,Jeníkov 7,539 01,Hlinsko,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna Jeníkov,5799,základní,public,Jeníkov 7,539 01,Hlinsko,Chrudim,Pardubický,, ,, ,, ,2004-06-24,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22230/2003,
Muzeum Šumavy Sušice,75116,Náměstí Svobody 40,342 01,Sušice,Klatovy,Plzeňský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Muzea Šumavy Sušice,5800,základní se specializovaným knihovním fondem,muzejní,Náměstí Svobody 40,342 01,Sušice,Klatovy,Plzeňský,, ,, ,,KTE301,2004-06-24,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22080/2003,
Obec Řepov,238562,Řepov,293 01,Řepov,Mladá Boleslav,Středočeský,,obecní úřad,,,Obecní knihovna Řepov,5801,základní,public,Řepov 36,293 01,Řepov,Mladá Boleslav,Středočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22364/2003,
Obec Vřesina,298581,Vřesina 24,742 85,Vřesina,Nový Jičín,Moravskoslezský,,obecní úřad,,,Obecní knihovna Vřesina,5802,základní,public,Vřesina 85,742 85,Vřesina,Nový Jičín,Moravskoslezský,, ,www.knihovna-vresina.estranky.cz,16.00-20.00 - 16.00-20.00 ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22234/2003,
Obec Sány,239739,Sány,289 06,Sány,Nymburk,Středočeský,,obecní úřad,,,Obecní knihovna v Sánech,5803,základní,public,Sány 161,289 06,Sány,Nymburk,Středočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22124/2003,
Obec Hromnice,257800,Hromnice 60,330 11,Třemošná,Plzeň-sever,Plzeňský,,obecní úřad,,,Obecní knihovna Hromnice,5804,základní,public,Hromnice 16,330 11,Třemošná,Plzeň-sever,Plzeňský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22336/2003,
Obec Hromnice,257800,Hromnice 60,330 11,Třemošná,Plzeň-sever,Plzeňský,,obecní úřad,,,Obecní knihovna Nynice,5805,základní,public,Nynice 10,330 11,Třemošná,Plzeň-sever,Plzeňský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22336/2003,
Obec Hromnice,257800,Hromnice 60,330 11,Třemošná,Plzeň-sever,Plzeňský,,obecní úřad,,,Obecní knihovna Žichlice,5806,základní,public,Žlichlice 3,330 11,Třemošná,Plzeň-sever,Plzeňský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22336/2003,
Městys Louňovice pod Blaníkem,232173,J. Žižky 16,257 06,Louňovice pod Blaníkem,Benešov,Středočeský,,obecní úřad,,,Obecní knihovna Louňovice pod Blaníkem,5807,základní,public,J. Žižky 16,257 06,Louňovice pod Blaníkem,Benešov,Středočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,2007-11-29 00:00:00,St. Firstová,A,,,,k 20/2004,
Obec Sulíkov,281018,Sulíkov 37,679 62,Křetín,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Sulíkov,5808,základní,public,Sulíkov 37,679 62,Křetín,Blansko,Jihomoravský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22366/2003,
Obec Čilec,875961,Čilec 11,289 25,Straky,Nymburk,Středočeský,,obecní úřad,,,Obecní knihovna v Čilci,5809,základní,public,Čilec 11,289 25,Straky,Nymburk,Středočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22381/2003,
Obec Jedlany,512664,Jedlany 48,391 37,Chotoviny,Tábor,Jihočeský,,obecní úřad,,,Místní lidová knihovna Jedlany,5810,základní,public,Jedlany 48,391 37,Chotoviny,Tábor,Jihočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22010/2003,
Obec Pokojovice,378461,Pokojovice 50,675 21,Okříšky,Třebíč,Vysočina,,obecní úřad,,,Místní lidová knihovna v Pokojovicích,5811,základní,public,Pokojovice 50,675 21,Okříšky,Třebíč,Vysočina,, ,,10.00-11.00 ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 21960/2003,
Obec Dřešín,251160,Dřešín 24,387 19,Čestice,Strakonice,Jihočeský,,obecní úřad,,,Obecní knihovna Dřešín,5812,základní,public,Dřešínek,387 19,Čestice,Strakonice,Jihočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,2004-03-28 00:00:00,St. Firstová,A,,,,k 21887/2003,
Obec Přestavlky,486264,Přestavlky 86,538 62,Hrochův Týnec,Chrudim,Pardubický,,obecní úřad,,,Lidová knihovna Přestavlky,5813,základní,public,Přestavlky 86,538 62,Hrochův Týnec,Chrudim,Pardubický,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,V,2010-02-28 00:00:00,St. Firstová,,k 21874/2003,
Vojenský útvar 1824 Žatec,714992,Žatec,438 01,Žatec,Louny,Ústecký,,vojenský útvar,,,Základní knihovna Vojenského útvaru 1824 Žatec,5814,základní,obrana,Žatec,438 01,Žatec,Louny,Ústecký,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,2004-06-04 00:00:00,Čermáková,A,,,,k 21130/2003,
"Římskokatolická farnost, děkanství Polná",62797557,Husovo nám. 14,588 13,Polná,Jihlava,Vysočina,,právnická osoba římskokatolické církve,,,Farní knihovna Polná,5815,základní se specializovaným knihovním fondem,církevní/farní,Husovo nám. 14,588 13,Polná,Jihlava,Vysočina,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22222/2003,
"Mikrobiologický ústav Akademie věd ČR, v.v.i.",61388971,Vídeňská 1083,142 20,Praha,Praha,Hlavní město Praha,,"vědecký výzkum v oblasti mikrobiologie, imunologie, biotechnologie",,,"Knihovna Mikrobiologického ústavu Akademie věd ČR, v.v.i., Sektor autotrofních mikroorganismů",5816,základní se specializovaným knihovním fondem,AV,Opatovický mlýn,379 81,Třeboň,Jindřichův Hradec,jihočeský,, ,,8.00-15.00 ,,ABB070,2004-06-30,2004-01-07 00:00:00,Čermáková,2007-12-19 00:00:00,St. Firstová,A,,,,k 22059/2003,
Horácká galerie v Novém Městě na Moravě,70890749,Vratislavovo nám. 1,592 31,Nové Město na Moravě,Žďár nad Sázavou,Vysočina,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Horácké galerie v Novém Městě na Moravě,5817,základní se specializovaným knihovním fondem,kultura (galerie),Vratislavovo nám. 1,592 31,Nové Město na Moravě,Žďár nad Sázavou,Vysočina,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,2008-01-02 00:00:00,St. Firstová,A,,,,k 22266/2003,
Obec Zachotín,515809,Zachotín,393 01,Zachotín,Pelhřimov,Vysočina,,obecní úřad,,,Místní knihovna v Zachotíně,5818,základní,public,Zachotín 37,393 01,Zachotín,Pelhřimov,Vysočina,, ,,13.00-15.00 ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 99/2004,
Obec Cerhenice,235300,Školská 444,281 02,Cerhenice,Kolín,Středočeský,,obecní úřad,,,Obecní knihovna v Cerhýnkách,5819,základní,public,Cerhýnky,281 02,Cerhenice,Kolín,Středočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 13048/2002,
Kulturní Plantáž Blatná,375951,nám. Míru 212,388 01,Blatná,Strakonice,Jihočeský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Městského muzea v Blatné,5820,základní se specializovaným knihovním fondem,muzejní,nám. Míru 212,388 01,Blatná,Strakonice,Jihočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,2022-04-26 00:00:00,St. Firstová,A,, ,,k 43/2004,
Město Týn nad Vltavou,245585,nám. Míru 1,375 01,Týn nad Vltavou,České Budějovice,Jihočeský,,městský úřad,,,Knihovna Městského muzea v Týně nad Vltavou,5821,základní se specializovaným knihovním fondem,muzejní,nám. Míru 1,375 01,Týn nad Vltavou,České Budějovice,Jihočeský,, ,, ,,CBE502,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 21919/2003,
Město Hlinsko,270059,Poděbradovo nám. 1,539 01,Hlinsko,Chrudim,Pardubický,,městský úřad,,,Místní knihovna Chlum,5822,základní,public,Chlum 24,539 01,Hlinsko,Chrudim,Pardubický,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22190/2003,
Obec Velká Chyška,249289,Velká Chyška 94,394 28,Velká Chyška,Pelhřimov,Vysočina,,obecní úřad,,,Místní knihovna Velká Chyška,5823,základní,public,Velká Chyška 94,394 28,Velká Chyška,Pelhřimov,Vysočina,, ,,9.30-11.30 ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 4/2004,
Obec Lhota u Příbrami,662887,Lhota u Příbrami,261 01,Příbram,Příbram,Středočeský,,obecní úřad,,,Obecní knihovna Lhota u Příbrami,5824,základní,public,Lhota u Příbrami,261 01,Příbram,Příbram,Středočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22093/2003,
Obec Újezd u Černé Hory,637769,Újezd,679 22,Újezd u Černé Hory,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Újezd u Černé Hory,5825,základní,public,Újezd,679 22,Újezd u Černé Hory,Blansko,Jihomoravský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22235/2003,
Obec Hošťálkovy,296031,Hošťálkovy 77,793 81,Hošťálkovy,Bruntál,Moravskoslezský,,obecní úřad,,,Obecní knihovna Hošťálkovy,5826,základní,public,Hošťálkovy 77,793 81,Hošťálkovy,Bruntál,Moravskoslezský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22299/2003,
Obec Mahouš,583081,Mahouš,384 11,Netolice,Prachatice,Jihočeský,,obecní úřad,,,Obecní knihovna Mahouš,5827,základní,public,Mahouš,384 11,Netolice,Prachatice,Jihočeský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22325/2003,
Obec Lužec nad Cidlinou,653403,Lužec nad Cidlinou,504 01,Lužec nad Cidlinou,Hradec Králové,Královéhradecký,,obecní úřad,,,Obecní knihovna Lužec nad Cidlinou,5828,základní,public,Lužec nad Cidlinou,504 01,Lužec nad Cidlinou,Hradec Králové,Královéhradecký,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22368/2003,
Obec Šebrov-Kateřina,281077,Šebrov 64,679 22,Lipůvka,Blansko,Jihomoravský,,obecní úřad,,,Místní knihovna Šebrov,5829,základní,public,Šebrov 64,679 22,Lipůvka,Blansko,Jihomoravský,, ,www.sebrov-katerina.cz, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22097/2003,
Obec Šebrov-Kateřina,281077,Šebrov 64,679 22,Lipůvka,Blansko,Jihomoravský,,obecní úřad,,,Místní knihovna Kateřina,5830,základní,public,Šebrov 64,679 22,Lipůvka,Blansko,Jihomoravský,, ,, ,, ,2004-06-30,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22097/2003,
Obec Starkoč,640417,Starkoč 90,286 01,Čáslav,Kutná Hora,Středočeský,,obecní úřad,,,Obecní knihovna Starkoč,5831,základní,public,Starkoč 90,286 01,Čáslav,Kutná Hora,Středočeský,, ,, ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,,,,k 22111/2003,
Obec Bohdalice-Pavlovice,291641,Bohdalice 125,683 41,Bohdalice-Pavlovice,Vyškov,Jihomoravský,,obecní úřad,,,Obecní knihovna Bohdalice,5832,základní,public,Bohdalice 125,683 41,Bohdalice-Pavlovice,Vyškov,Jihomoravský,, ,, ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,2005-11-08 00:00:00,St. Firstová,A,,,,k 22161/2003,
Obec Bohdalice-Pavlovice,291641,Bohdalice 125,683 41,Bohdalice-Pavlovice,Vyškov,Jihomoravský,,obecní úřad,,,Obecní knihovna Pavlovice,5833,základní,public,Pavlovice 37,683 41,Bohdalice-Pavlovice,Vyškov,Jihomoravský,, ,, ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,V,2013-10-31 00:00:00,M. Fojtík,,k 22161/2003,
Obec Brantice,295884,Brantice 121,793 93,Brantice,Bruntál,Moravskoslezský,,obecní úřad,,,Obecní knihovna v Branticích,5834,základní,public,Brantice 326,793 93,Brantice,Bruntál,Moravskoslezský,, ,,15.30-17.30 ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22202/2003,
Obec Prostřední Poříčí,637785,Prostřední Poříčí 9,679 62,Křetín,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Prostřední Poříčí,5835,základní,public,Prostřední Poříčí 9,679 62,Křetín,Blansko,Jihomoravský,, ,, ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22300/2003,
Obec Vanovice,281121,Vanovice 132,679 36,Vanovice,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Vanovice,5836,základní,public,Vanovice 132,679 36,Vanovice,Blansko,Jihomoravský,, ,, ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22335/2003,
Obec Vanovice,281121,Vanovice 132,679 36,Vanovice,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Drválovice,5837,základní,public,Drválovice 26,679 36,Vanovice,Blansko,Jihomoravský,, ,, ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22335/2003,
Obec Vrbovec,293831,Vrbovec,671 24,Vrbovec,Znojmo,Jihomoravský,,obecní úřad,,,Obecní knihovna Vrbovec,5838,základní,public,Vrbovec 146,671 24,Vrbovec,Znojmo,Jihomoravský,, ,, ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 11/2004,
Obec Heřmanovice,295981,Heřmanovice 131,793 74,Heřmanovice,Bruntál,Moravskoslezský,,obecní úřad,,,Obecní knihovna Heřmanovice,5839,základní,public,Heřmanovice 131,793 74,Heřmanovice,Bruntál,Moravskoslezský,, ,,15.00-17.00 ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22046/2003,
Obec Budišovice,635413,Budišovice 112,747 64,Velká Polom,Opava,Moravskoslezský,,obecní úřad,,,Obecní knihovna v Budišovicích,5840,základní,public,Budišovice 38,747 64,Velká Polom,Opava,Moravskoslezský,, ,,17.00-19.00 ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 21907/2003,
Obec Poříčí nad Sázavou,232513,Sázavská 57,257 21,Poříčí nad Sázavou,Benešov,Středočeský,,obecní úřad,,,Obecní knihovna Poříčí nad Sázavou,5841,základní,public,Čerčanská 77,257 21,Poříčí nad Sázavou,Benešov,Středočeský,, ,, ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 21869/2003,
Obec Borkovice,252093,Borkovice 35,391 81,Veselí nad Lužnicí,Tábor,Jihočeský,,obecní úřad,,,Místní knihovna Borkovice,5842,základní,public,Borkovice 35,391 81,Veselí nad Lužnicí,Tábor,Jihočeský,, ,, ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 21900/2003,
Obec Senice na Hané,299421,Jos. Vodičky 243,783 45,Senice na Hané,Olomouc,Olomoucký,,obecní úřad,,,"Místní knihovna Senice na Hané, pobočky: Místní knihovna Senice na Hané-Cakov a Místní knihovna Senice na Hané-Odrlice",5843,základní,public,nám. Míru 15,783 45,Senice na Hané,Olomouc,Olomoucký,, ,www.senicenahane.knihovna.cz,,,OLG507,2004-07-01,2004-01-07 00:00:00,Čermáková,2008-05-27 00:00:00,St. Firstová,A,,,,k 21930/2003,
Obec Kněževes,241377,U Národního výboru 62,252 68,Kněževes,Praha-západ,Středočeský,,obecní úřad,,,Obecní knihovna v Kněževsi,5844,základní,public,Na staré silnici 121,252 68,Kněževes,Praha-západ,Středočeský,, ,,17.00-18.00 ,, ,2004-07-01,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 21923/2003,
Obec Vísky,281263,Vísky 96,679 33,Vísky,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Vísky,5845,základní,public,Vísky 96,679 33,Vísky,Blansko,Jihomoravský,, ,, ,, ,2004-07-01,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1642/2003,
Obec Dříteč,273546,Dříteč,533 05,Dříteč,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna ve Dřítči,5846,základní,public,Dříteč 116,533 05,Dříteč,Pardubice,Pardubický,, ,, ,, ,2004-07-01,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1587/2004,
Obec Mladé Buky,278149,Mladé Buky 186,542 23,Mladé Buky,Trutnov,Královéhradecký,,obecní úřad,,,Obecní knihovna Mladé Buky,5847,základní,public,Mladé Buky 166,542 23,Mladé Buky,Trutnov,Královéhradecký,, ,, ,, ,2004-07-01,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 900/2004,
Obec Újezd,299618,Újezd 83,783 96,Újezd,Olomouc,Olomoucký,,obecní úřad,,,Místní knihovna Újezd - Haukovice,5848,základní,public,Haukovice 530,783 96,Újezd,Olomouc,Olomoucký,, ,, ,, ,2004-07-01,2004-01-22 00:00:00,Čermáková,,,V,2007-10-01 00:00:00,St. Firstová,,k 19682/2003,
Obec Liberk,275051,Liberk 70,517 12,Liberk,Rychnov nad Kněžnou,Královéhradecký,,obecní úřad,,,Místní knihovna Liberk - pobočka Hláska,5849,základní,public,Hláska 61,517 12,Liberk,Rychnov nad Kněžnou,Královéhradecký,, ,, ,, ,2004-07-01,2004-01-22 00:00:00,Čermáková,2007-12-04 00:00:00,St. Firstová,A,,,,k 20865/2002,
Národní divadlo,23337,Ostrovní 1,112 30,Praha 1,Praha,Hlavní město Praha,,divadelní činnost,,,Knihovna archivu Národního divadla,5850,základní se specializovaným knihovním fondem,kultura,Anenské nám. 2,112 30,Praha 1,Praha,Hlavní město Praha,, ,, ,,ABE309,2004-07-01,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1118/2004,
Husitské muzeum v Táboře,72486,nám. Mikuláše z Husi 44,390 01,Tábor,Tábor,Jihočeský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Husitského muzea v Táboře,5851,základní se specializovaným knihovním fondem,muzejní,nám. Mikuláše z Husi 44,390 01,Tábor,Tábor,Jihočeský,, ,, ,,TAE301,2004-07-01,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1490/2004,
Husitské muzeum v Táboře,72486,nám. Mikuláše z Husi 44,390 01,Tábor,Tábor,Jihočeský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Blatského muzea v Soběslavi,5852,základní se specializovaným knihovním fondem,muzejní,Petra Volka 152/I,392 01,Soběslav,Tábor,Jihočeský,, ,, ,,TAE301,2004-07-01,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1490/2004,
"Vyšší odborná škola ČSTV, s.r.o.",27182789,Zátopkova 100/2,160 17,Praha 6-Břevnov,Praha,Hlavní město Praha,,"podpora činnost sdružených spolků tělovýchovných jednot, sportovních svazů a klubů",,,"Knihovna SPORTIS Vyšší odborné školy ČSTV, s.r.o.",5853,základní se specializovaným knihovním fondem,"SŠ, VOŠ, SŠ a VOŠ, jazykové",Zátopkova 100/2,160 17,Praha 6-Břevnov,Praha,Hlavní město Praha,,cstv@cstv.cz,, ,,ABE401,2004-07-02,2004-01-22 00:00:00,Čermáková,2006-02-07 00:00:00,St. Firstová,A,,,,k 22178/2003,
Obec Hamry,270032,Hamry 89,539 01,Hamry,Chrudim,Pardubický,,obecní úřad,,,Místní knihovna v Hamrech,5854,základní,public,Hamry 89,539 01,Hamry,Chrudim,Pardubický,, ,, ,, ,2004-07-02,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1348/2004,
Obec Přepychy,275280,Přepychy 5,517 32,Přepychy,Rychnov nad Kněžnou,Královéhradecký,,obecní úřad,,,Místní knihovna Přepychy,5855,základní,public,Přepychy 125,517 32,Přepychy,Rychnov nad Kněžnou,Královéhradecký,, ,, ,, ,2004-07-02,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1302/2004,
Obec Přešovice,378348,Přešovice 29,675 57,Přešovice,Třebíč,Vysočina,,obecní úřad,,,Místní knihovna Přešovice,5856,základní,public,Přešovice 76,675 57,Přešovice,Třebíč,Vysočina,, ,, ,, ,2004-07-02,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 260/2004,
Obec Jílovice,579238,Jílovice,517 72,Jílovice,Rychnov nad Kněžnou,Královéhradecký,,obecní úřad,,,Místní knihovna v Jílovici,5857,základní,public,Jílovice,517 72,Jílovice,Rychnov nad Kněžnou,Královéhradecký,, ,, ,, ,2004-07-02,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1063/2004,
Obec Sudice,841820,Sudice 118,680 01,Boskovice,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Sudice,5858,základní,public,Sudice 118,680 01,Boskovice,Blansko,Jihomoravský,, ,http://www.knihovnasudice.estranky.cz/, ,, ,2004-07-02,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1260/2004,
Obec Bzová,233188,Bzová 52,267 43,Bzová,Beroun,Středočeský,,obecní úřad,,,Obecní knihovna ve Bzové,5859,základní,public,Bzová 52,267 43,Bzová,Beroun,Středočeský,, ,, ,, ,2004-07-02,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1364/2004,
Obec Říčany,282537,Náměstí Osvobození 340,664 82,Říčany,Brno-venkov,Jihomoravský,,obecní úřad,,,Místní knihovna Říčany,5860,základní,public,V Dědině 1,664 82,Říčany,Brno-venkov,Jihomoravský,, ,, ,, ,2004-07-02,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1369/2004,
Obec Felbabka,233226,Felbabka,268 01,Hořovice,Beroun,Středočeský,,obecní úřad,,,Obecní knihovna ve Felbabce,5861,základní,public,Felbabka,268 01,Hořovice,Beroun,Středočeský,, ,, ,, ,2004-07-02,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 1301/2004,
Regionální muzeum v Litomyšli,71191283,Jiráskova 9,570 01,Litomyšl,Svitavy,Pardubický,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Regionálního muzea v Litomyšli,5862,základní se specializovaným knihovním fondem,muzejní,Jiráskova 9,570 01,Litomyšl,Svitavy,Pardubický,, ,, ,,SVE803,2004-07-08,2004-01-22 00:00:00,Čermáková,,,A,, ,,k 22060/2003,
Obec Liberk,275051,Liberk 70,517 12,Liberk,Rychnov nad Kněžnou,Královéhradecký,,obecní úřad,,,Místní knihovna Liberk - pobočka Bělá,5863,základní,public,Bělá 1,517 12,Liberk,Rychnov nad Kněžnou,Královéhradecký,, ,, ,, ,2004-07-08,2004-01-22 00:00:00,Čermáková,2007-12-04 00:00:00,St. Firstová,A,,,,k 22060/2003,
Město Město Touškov,258105,Dolní náměstí 1,330 33,Město Touškov,Plzeň-sever,Plzeňský,,městský úřad,,,Městská knihovna v Městě Touškově,5864,základní,public,Čemínská 205,330 33,Město Touškov,Plzeň-sever,Plzeňský,, ,, ,, ,2004-07-02,2004-05-07 00:00:00,Čermáková,2023-04-23 00:00:00,St. Firstová,A,, ,,"k 7751/2004, 19542/2023",
Obec Nevojice,292150,Nevojice 33,685 01,Bučovice,Vyškov,Jihomoravský,,obecní úřad,,,Místní knihovna Nevojice,5865,základní,public,Nevojice 33,685 01,Bučovice,Vyškov,Jihomoravský,, ,, ,, ,2004-07-02,2004-02-27 00:00:00,Čermáková,,,A,, ,,k 21360/2003,
Obec Rudka,378542,Rudka 66,664 83,Rudka,Brno-venkov,Jihomoravský,,obecní úřad,,,Obecní knihovna Rudka,5866,základní,public,Rudka 66,664 83,Rudka,Brno-venkov,Jihomoravský,, ,, ,, ,2004-07-02,2004-02-11 00:00:00,Čermáková,,,A,, ,,k 2564/2004,
Obec Kulířov,542873,Kulířov 130,679 06,Jedovnice,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Kulířov,5867,základní,public,Kulířov,679 06,Jedovnice,Blansko,Jihomoravský,, ,http://kulirov.i7.cz/?sekce=179&cl=xng_179&nazev=knihovna, ,, ,2004-07-02,2004-02-11 00:00:00,Čermáková,,,A,, ,,k 2670/2004,
