Nazev provozovatele|B/H - IC provozovatele (u fyzicke osoby pokud bylo prideleno)|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - ulice|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - PSC|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - obec|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - okres|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - kraj|C/CH - datova schranka, ma-li ji subjekt zrizenou|D - predmet cinnosti|E - pravni forma|G - datum narozeni provozovatele - fyzicke osoby|I - NAZEV KNIHOVNY|R - EVIDENCNI CISLO KNIHOVNY|J - druh knihovny|Kategorie - pomocny sloupec|K - adresa knihovny: ulice|K - adresa knihovny: PSC|K - adresa knihovny: mesto|K - adresa knihovny: okres|K - adresa knihovny: kraj|M - emailovy kontakt na autora zaznamu|N - e-mailovy kontakt na knihovnu|O - odkaz na webovou stranku knihovny, respektive odkaz na informace o knihovne na webovych strankach provozovatele|P - provozni doba knihovny|Q - dalsi informace|X - sigla|S - datum vytvoreni zaznamu|T - datum evidence knihovny|XXT - schvalovatel zaznamu|U - datum aktualizace zaznamu|XXU - schvalovatel aktualizace zaznamu|aktivni / zrusena (vyrazena z evidence)|V - datum vyrazeni|XXV - vyradil z evidence|W - duvod vyrazeni z evidence|Y - cislo jednaci|Poznamka
Obec Zaryby|237361|Zaryby 147|277 13|Kostelec nad Labem|Melnik|Stredocesky||obecni urad|||Mistni knihovna v Zarybech|6016|zakladni|public|Zaryby 92|277 13|Kostelec nad Labem|Melnik|Stredocesky|| || || |2004-07-15|2004-07-09 00:00:00|Cermakova|||A|| ||k 10831/2004|
Obec Zakrany|282880|Zakrany 7|667 84|Zastavka u Brna|Brno-venkov|Jihomoravsky||obecni urad|||Obecni knihovna Zakrany|6017|zakladni|public|Zakrany 7|667 84|Zastavka u Brna|Brno-venkov|Jihomoravsky|| || || |2004-07-15|2004-07-09 00:00:00|Cermakova|||A|| ||k 10880/2004|
Galerie vytvarneho umeni v Ostrave|373231|Jureckova 9|702 00|Moravska Ostrava|Ostrava-mesto|Moravskoslezsky||odborne shromazdovani a spravovani malirskych, socharskych a grafickych del|||Knihovna Galerie vytvarneho umeni v Ostrave|6018|zakladni se specializovanym knihovnim fondem|kultura (galerie)|Mongolska 2|708 00|Moravska Ostrava|Ostrava-mesto|Moravskoslezsky|| || || |2004-07-15|2004-07-14 00:00:00|Cermakova|||A|| ||k 10900/2004|
Obec Stechovice|667862|Stechovice 64|387 16|Volenice|Strakonice|Jihocesky||obecni urad|||Obecni knihovna Stechovice|6019|zakladni|public|Stechovice 64|387 16|Volenice|Strakonice|Jihocesky|| || || |2004-07-19|2004-07-14 00:00:00|Cermakova|||A|| ||k 11139/2004|
Vyssi odborna skola a Stredni zemedelska skola|61664651|Mendlova 131|256 01|Benesov|Benesov|Stredocesky||poskytovani stredniho a vyssiho odborneho vzdelani|||Skolni studijni a informacni centrum Vyssi odborne skoly a Stredni zemedelske skoly|6020|zakladni se specializovanym knihovnim fondem|SS, VOS, SS a VOS, jazykove|Mendlova 131|256 01|Benesov|Benesov|Stredocesky|| || || |2004-07-19|2004-07-14 00:00:00|Cermakova|||A|| ||k 11187/2004|
Mesto Vamberk|275492|Husovo nam. 1|517 54|Vamberk|Rychnov nad Kneznou|Kralovehradecky||mestsky urad|||Mestska knihovna - pobocka Merklovice|6021|zakladni|public|Merklovice 90|517 54|Vamberk|Rychnov nad Kneznou|Kralovehradecky|| || ||RKG504|2004-07-19|2004-07-14 00:00:00|Cermakova|||A|| ||k 16490/2002|
Mesto Vamberk|275492|Husovo nam. 1|517 54|Vamberk|Rychnov nad Kneznou|Kralovehradecky||mestsky urad|||Mestska knihovna - pobocka Peklo|6022|zakladni|public|Peklo 77|517 54|Vamberk|Rychnov nad Kneznou|Kralovehradecky|| || ||RKG504|2004-07-19|2004-07-14 00:00:00|Cermakova|||A|| ||k 16490/2002|
Obec Zabrdi|583146|Zabrdi 41|384 21|Husinec|Prachatice|Jihocesky||obecni urad|||Obecni knihovna Zabrdi|6023|zakladni|public|Zabrdi 1|384 21|Husinec|Prachatice|Jihocesky|| || || |2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11550/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho oblastniho archivu v Litomericich|6024|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Krajska 1|412 74|Litomerice|Litomerice|Ustecky|| || ||LTE301|2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho oblastniho archivu v Litomericich, pobocka Decin|6025|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Zbojnicka 14|405 02|Decin|Decin|Ustecky|| || ||DCE003|2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho okresniho archivu Ceska Lipa|6026|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Strelnice 3035|470 05|Ceska Lipa|Ceska Lipa|Liberecky|| || ||CLE302|2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho okresniho archivu Decin|6027|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Dlouha jizda - zamek 1253|405 02|Decin|Decin|Ustecky|| || ||DCE001|2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho okresniho archivu Chomutov se sidlem v Kadani|6028|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Bozeny Nemcove 68|432 01|Kadan|Chomutov|Ustecky|| || || |2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho okresniho archivu Liberec|6029|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Vilova 339/24|460 10|Liberec|Liberec|Liberecky|| || || |2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho okresniho archivu Litomerice se sidlem v Lovosicich|6030|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Terezinska 909/59|410 02|Lovosice|Litomerice|Ustecky|| || ||LTE502|2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho okresniho archivu Louny|6031|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Mirove nam. 57|440 01|Louny|Louny|Ustecky|| || || |2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho okresniho archivu Most|6032|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Leose Janacka 1310/2|434 01|Most|Most|Ustecky|| || || |2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Statni oblastni archiv v Litomericich|70979464|Krajska 1|412 74|Litomerice|Litomerice|Ustecky||odborna cinnost v oblasti archivnictvi|||Knihovna Statniho okresniho archivu Teplice|6033|zakladni se specializovanym knihovnim fondem|archivy (statni, oblastni,...)|Skolni 8|415 01|Teplice|Teplice|Ustecky|| || || |2004-07-28|2004-07-26 00:00:00|Cermakova|||A|| ||k 11494/2004|
Obec Kresin|242560|Kresin 21|262 23|Jince|Pribram|Stredocesky||obecni urad|||Obecni knihovna Kresin|6034|zakladni|public|Kresin 21|262 23|Jince|Pribram|Stredocesky|| || || |2004-08-16|2004-08-12 00:00:00|Cermakova|||A|| ||k 12272/2004|
Obec Hradcany|362875|Tisnovska 131|666 03|Tisnov|Brno-venkov|Jihomoravsky||obecni urad|||Obecni knihovna Hradcany|6035|zakladni|public|Tisnovska 131|666 03|Tisnov|Brno-venkov|Jihomoravsky|| || || |2004-08-16|2004-08-12 00:00:00|Cermakova|||A|| ||k 11968/2004|
Obec Chvateruby|236870|Chvateruby 46|278 01|Kralupy nad Vltavou|Melnik|Stredocesky||obecni urad|||Obecni knihovna ve Chvaterubech|6036|zakladni|public|Chvateruby 69|278 01|Kralupy nad Vltavou|Melnik|Stredocesky|| || || |2004-08-23|2004-08-18 00:00:00|Cermakova|||A|| ||k 23885/2004|
Obec Jarov|44626728|Jarov|335 01|Nepomuk 1|Plzen-jih|Plzensky||obecni urad|||Mistni knihovna Jarov|6037|zakladni|public|Jarov|335 01|Nepomuk 1|Plzen-jih|Plzensky|| || || |2004-08-23|2004-08-18 00:00:00|Cermakova|||A|| ||k 12848/2004|
Obec Radic|473898|Radic 14|262 93|Radic|Pribram|Stredocesky||obecni urad|||Obecni knihovna Radic|6038|zakladni|public|Radic 43|262 93|Radic|Pribram|Stredocesky|| || || |2004-08-23|2004-08-18 00:00:00|Cermakova|||A|| ||k 12816/2004|
Vojensky utvar 2395 Pardubice|60162694|Prazska ul.|530 02|Pardubice|Pardubice|Pardubicky||vojensky utvar|||Zakladni knihovna Vojenskeho utvaru 2395 Pardubice|6039|zakladni||Prazska ul.|530 02|Pardubice|Pardubice|Pardubicky|| ||11.30-13.00, 15.00-15.30  -  11.30-13.00, 15.00-15.30 - 11.30-13.00, 15.00-15.30 - 11.30-13.00, 15.00-15.30 - 11.30-13.00, 15.00-15.30 || |2004-09-06|2004-09-03 00:00:00|Cermakova|||V|2010-11-30 00:00:00|M. Fojtik||k 13397/2004|
Obec Chrzin|234443|Chrzin 7|273 24|Velvary|Kladno|Stredocesky||obecni urad|||Obecni knihovna Chrzin|6040|zakladni|public|Chrzin 7|273 24|Velvary|Kladno|Stredocesky||ouchrzin@volny.cz|| || |2004-09-06|2004-09-03 00:00:00|Cermakova|||A|| ||k 13188/2004|
Obec Krelov-Bruchotin|63028255|Marie Majerove 25|783 36|Krelov-Bruchotin|Olomouc|Olomoucky||obecni urad|||Obecni knihovna Krelov-Bruchotin|6041|zakladni|public|Marie Majerove 45/25|783 36|Krelov-Bruchotin|Olomouc|Olomoucky|| ||16.00-19.00 - 16.00-19.00 || |2004-09-06|2004-09-03 00:00:00|Cermakova|||V|2010-12-31 00:00:00|M. Fojtik||k 13049/2004|
Obec Ohnisov|275166|Ohnisov 172|517 84|Ohnisov|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Mistni knihovna Ohnisov|6042|zakladni|public|Ohnisov 172|517 84|Ohnisov|Rychnov nad Kneznou|Kralovehradecky|| || || |2004-09-06|2004-09-03 00:00:00|Cermakova|||A|| ||k 13141/2004|
Obec Hranicne Petrovice|601144|Hranicne Petrovice 75|783 06|Domasov nad Bystrici|Olomouc|Olomoucky||obecni urad|||Obecni knihovna Hranicne Petrovice|6043|zakladni|public|Hranicne Petrovice 82|783 06|Domasov nad Bystrici|Olomouc|Olomoucky|| || || |2004-09-16|2004-09-16 00:00:00|Cermakova|||A|| ||k 13590/2004|
Obec Zvole|295817|Zvole 107|592 56|Zvole nad Pernstejnem|Zdar nad Sazavou|Vysocina||obecni urad|||Obecni knihovna Zvole|6044|zakladni|public|Zvole 84|592 56|Zvole nad Pernstejnem|Zdar nad Sazavou|Vysocina|| ||18.30-20.00 || |2004-09-16|2004-09-16 00:00:00|Cermakova|||A|| ||k 13589/2004|
Obec Chotesice|239186|Chotesice 29|289 01|Dymokury|Nymburk|Stredocesky||obecni urad|||Obecni knihovna v Chotesicich|6045|zakladni|public|Chotesice 29|289 01|Dymokury|Nymburk|Stredocesky|| || || |2004-09-16|2004-09-16 00:00:00|Cermakova|||A|| ||k 14075/2004|
Mesto Rychnov nad Kneznou|275336|Svatohavelska 105|516 01|Rychnov nad Kneznou|Rychnov nad Kneznou|Kralovehradecky||mestsky urad|||Mestska knihovna, pobocka Lipovka|6046|zakladni|public|Lipovka|516 01|Rychnov nad Kneznou|Rychnov nad Kneznou|Kralovehradecky|| || ||RKG001|2004-09-16|2004-09-16 00:00:00|Cermakova|||A|| ||k 16927/2002|
Mesto Rychnov nad Kneznou|275336|Svatohavelska 105|516 01|Rychnov nad Kneznou|Rychnov nad Kneznou|Kralovehradecky||mestsky urad|||Mestska knihovna, pobocka Dlouha Ves|6047|zakladni|public|Dlouha Ves|516 01|Rychnov nad Kneznou|Rychnov nad Kneznou|Kralovehradecky|| || ||RKG001|2004-09-16|2004-09-16 00:00:00|Cermakova|||A|| ||k 16927/2002|
Mesto Rychnov nad Kneznou|275336|Svatohavelska 105|516 01|Rychnov nad Kneznou|Rychnov nad Kneznou|Kralovehradecky||mestsky urad|||Mestska knihovna, pobocka Roven|6048|zakladni|public|Roven|516 01|Rychnov nad Kneznou|Rychnov nad Kneznou|Kralovehradecky|| || ||RKG001|2004-09-16|2004-09-16 00:00:00|Cermakova|||A|| ||k 16927/2002|
Obec Tvorihraz|637068|Tvorihraz 169|671 34|Tvorihraz|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna v Tvorihrazi|6049|zakladni|public|Tvorihraz 1|671 34|Tvorihraz|Znojmo|Jihomoravsky|| || || |2004-10-08|2004-09-23 00:00:00|Holub|||A|| ||k 14550/2004|
Obec Luzec nad Vltavou|237035|1. maje 176|277 06|Luzec nad Vltavou|Melnik|Stredocesky||obecni urad|||Mistni knihovna v Luzci nad Vltavou|6050|zakladni|public|9. kvetna 92|277 06|Luzec nad Vltavou|Melnik|Stredocesky|| || || |2004-10-08|2004-09-23 00:00:00|Holub|||A|| ||k 14521/2004|
Obec Prestovice|251704|Prestovice 36|386 01|Strakonice|Strakonice|Jihocesky||obecni urad|||Obecni knihovna Prestovice|6051|zakladni|public|Prestovice 36|386 01|Strakonice|Strakonice|Jihocesky|| || || |2004-10-08|2004-09-23 00:00:00|Holub|||A|| ||k 14457/2004|
Obec Zbrasin|556491|Zbrasin 23|440 01|Louny|Louny|Ustecky||obecni urad|||Mistni knihovna Zbrasin|6052|zakladni|public|Zbrasin 23|440 01|Louny|Louny|Ustecky|| || || |2004-12-09|2004-09-30 00:00:00|Holub|||A|| ||k 20484/2004|
Obec Dobromerice|831786|Prazska 53|440 01|Louny|Louny|Ustecky||obecni urad|||Mistni knihovna Dobromerice|6053|zakladni|public|Prazska 53|440 01|Louny|Louny|Ustecky|| |www.dobromerice.cz/index.php?page=knihovna| || |2004-12-09|2004-09-30 00:00:00|Holub|||A|| ||k 20485/2004|
Mesto Smirice|269557|Palackeho 106|503 03|Smirice|Hradec Kralove|Kralovehradecky||mestsky urad|||Pobocka mestske knihovny ve Smiricich se sidlem v Rodove|6054|zakladni||Rodov|503 03|Smirice|Hradec Kralove|Kralovehradecky|| || || |2004-10-08|2004-09-30 00:00:00|Holub|||V|2008-08-29 00:00:00|St. Firstova||k 14726/2004|
Mesto Slany|234877|Velvarska 136|274 01|Slany|Kladno|Stredocesky||mestsky urad|||Mistni knihovna Dolin|6055|zakladni||Dolin 140|274 01|Slany|Kladno|Stredocesky|| ||13-17 ||KLG501|2004-10-08|2004-09-30 00:00:00|Holub|||V|2006-01-31 00:00:00|St. Firstova||k 14770/2004|
Obec Ostra|239585|Ostra 172|289 22|Lysa nad Labem|Nymburk|Stredocesky||obecni urad|||Mistni knihovna obce Ostra - pobocka Snepov|6056|zakladni|public|Ostra - Snepov 3|289 22|Lysa nad Labem|Nymburk|Stredocesky|| || || |2004-10-08|2004-09-30 00:00:00|Holub|||A|| ||k 14806/2004|
Obec Melnicke Vtelno|237060|Melnicka 49|277 38|Melnicke Vtelno|Melnik|Stredocesky||obecni urad|||Mistni knihovna v Melnickem Vtelne|6057|zakladni|public|Melnicka 49|277 38|Melnicke Vtelno|Melnik|Stredocesky|| || || |2004-10-08|2004-10-04 00:00:00|Holub|||A|| ||k 15106/2004|
Obec Mikulovice|303003|Hlavni 5|790 84|Mikulovice|Jesenik|Olomoucky||obecni urad|||Mistni knihovna Siroky Brod|6058|zakladni|public|Hlavni 97|790 83|Siroky Brod|Jesenik|Olomoucky|| || ||JEG505|2004-10-08|2004-10-04 00:00:00|Holub|||A|| ||k 15022/2004|
Obec Strizovice|287784|Strizovice 55|768 21|Kvasice|Kromeriz|Zlinsky||obecni urad|||Obecni knihovna ve Strizovicich|6059|zakladni|public|Strizovice 55|768 21|Kvasice|Kromeriz|Zlinsky|| || || |2004-10-12|2004-10-08 00:00:00|Holub|||A|| ||k 15591/2004|
Obec Trebesov|579262|Trebesov|516 01|Rychnov nad Kneznou|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Mistni knihovna Trebesov|6060|zakladni|public|Trebesov 47|516 01|Rychnov nad Kneznou|Rychnov nad Kneznou|Kralovehradecky|| || || |2004-10-12|2004-10-08 00:00:00|Holub|||A|| ||k 15404/2004|
Vita - obcanske sdruzeni|41033507|Gen. Janouska 4|702 00|Ostrava|Ostrava-mesto|Moravskoslezsky||vzdelavaci, vychovne a osvetove programy|||Knihovna obcanskeho sdruzeni Vita|6061|zakladni se specializovanym knihovnim fondem|public|Gen. Janka 1157/3|709 00|Ostrava-Mar. Hory|Ostrava-mesto|Moravskoslezsky|| || || |2004-10-12|2004-10-08 00:00:00|Holub|||A|| ||k 14658/2004|
Masarykovo muzeum v Hodonine, prispevkova organizace|90352|Zamecke nam. 9|695 01|Hodonin|Hodonin|Jihomoravsky||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Knihovna Vlastivedneho muzea v Kyjove|6062|zakladni se specializovanym knihovnim fondem|muzejni|Palackeho 70|697 01|Kyjov|Hodonin|Jihomoravsky|| || ||HOE301|2004-10-12|2004-10-08 00:00:00|Holub|||A|| ||k 15501/2004|
Masarykovo muzeum v Hodonine, prispevkova organizace|90352|Zamecke nam. 9|695 01|Hodonin|Hodonin|Jihomoravsky||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Knihovna Masarykova muzea v Hodonine, prispevkove organizace|6063|zakladni se specializovanym knihovnim fondem|muzejni|Zamecke nam. 9|695 01|Hodonin|Hodonin|Jihomoravsky|| || ||HOE301|2004-10-12|2004-10-08 00:00:00|Holub|||A|| ||k 15502/2004|
Obec Zarovna|583413|Zarovna 5|384 21|Husinec|Prachatice|Jihocesky||obecni urad|||Obecni knihovna v Zarovne|6064|zakladni|public|Zarovna 5|384 21|Husinec|Prachatice|Jihocesky|| || || |2004-10-13|2004-10-13 00:00:00|Holub|||A|| ||k 15706/2004|
Obec Jestrebi|260878|Jestrebi 142|471 61|Jestrebi|Ceska Lipa|Liberecky||obecni urad|||Mistni knihovna v Jestrebi|6065|zakladni|public|Jestrebi 84|471 61|Jestrebi|Ceska Lipa|Liberecky|| || || |2004-10-14|2004-10-14 00:00:00|Holub|||A|| ||k 15760/2004|
Obec Slatina|277363|Slatina 45|569 43|Slatina|Svitavy|Pardubicky||obecni urad|||Obecni knihovna Slatina|6066|zakladni|public|Slatina|569 43|Slatina|Svitavy|Pardubicky|| || || |2004-10-19|2004-10-14 00:00:00|Holub|||A|| ||k 15870/2004|
Mestska knihovna Podebrady|239640|Jiriho namesti 41/I|290 01|Podebrady|Nymburk|Stredocesky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna v Podebradech, pobocka Kluk|6067|zakladni|public|Kluk 64|290 01|Podebrady|Nymburk|Stredocesky|| || ||NBG502|2004-10-19|2004-10-14 00:00:00|Holub|||V|2022-03-24 00:00:00|St. Firstova||k 15995/2004|
Mesto Podebrady|239640|Jiriho namesti 20/I|290 31|Podebrady|Nymburk|Stredocesky||obecni urad|||Mestska knihovna v Podebradech, pobocka Predni Lhota|6068|zakladni|public|Prubezna, Predni Lhota 41|290 01|Podebrady|Nymburk|Stredocesky|| || ||NBG502|2004-10-19|2004-10-14 00:00:00|Holub|2022-03-24 00:00:00|St. Firstova|A|| ||k 15994/2004|
Vysoka skola banska - Technicka univerzita Ostrava|61989100|17. listopadu 15|708 33|Ostrava-Poruba|Ostrava-mesto|Moravskoslezsky||vzdelavaci a vedecko-vyzkumna cinnost|||Ustredni knihovna Vysoke skoly banske - Technicke univerzity Ostrava, zakladni knihovna se specializovanym knihovnim fondem|6069|zakladni se specializovanym knihovnim fondem|VS|17. listopadu 15|708 33|Ostrava - Poruba|Ostrava-mesto|Moravskoslezsky|| || || |2004-10-19|2004-10-14 00:00:00|Holub|||A|| ||k 14928/2004|
Obec Praskolesy|233749|Praskolesy 130|267 54|Praskolesy|Beroun|Stredocesky||obecni urad|||Obecni knihovna Praskolesy|6070|zakladni|public|Praskolesy 300|267 54|Praskolesy|Beroun|Stredocesky|| || || |2004-10-19|2004-10-14 00:00:00|Holub|||A|| ||k 15033/2004|
Obec Lukavice|579301|Lukavice 190|516 03|Lukavice|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Mistni knihovna v Lukavici|6071|zakladni|public|Lukavice 163|516 03|Lukavice|Rychnov nad Kneznou|Kralovehradecky|| || || |2004-10-14|2004-10-14 00:00:00|Holub|||A|| ||k 15991/2004|
Obec Pozden|234826|Pozden 95|273 76|Pozden|Kladno|Stredocesky||obecni urad|||Obecni knihovna v Hresicich|6072|zakladni|public|Pozden 95|273 76|Pozden|Kladno|Stredocesky|| || || |2004-11-04|2004-10-19 00:00:00|Holub|||A|| ||k 16039/2004|
Obec Vrbova Lhota|239933|Podebradska 25|289 11|Pecky|Kolin|Stredocesky||obecni urad|||Obecni knihovna ve Vrbove Lhote|6073|zakladni|public|Podebradska 25|289 11|Pecky|Kolin|Stredocesky|| || || |2004-10-26|2004-10-21 00:00:00|Holub|||A|| ||k 16185/2004|
Obec Skuhrov nad Belou|275387|Skuhrov nad Belou 84|517 03|Skuhrov nad Belou|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Mistni knihovna v Brocne|6074|zakladni|public|Skuhrov nad Belou 84|517 03|Skuhrov nad Belou|Rychnov nad Kneznou|Kralovehradecky|| || || |2004-10-26|2004-10-21 00:00:00|Holub|||A|| ||k 16217/2004|
Obec Lanov|278041|Prostredni Lanov 200|543 41|Lanov|Trutnov|Kralovehradecky||obecni urad|||Obecni knihovna v Lanove|6075|zakladni|public|Prostredni Lanov 39|543 41|Lanov|Trutnov|Kralovehradecky|| || || |2004-10-26|2004-10-21 00:00:00|Holub|||A|| ||k 16180/2004|
Kancelar prezidenta republiky|48136000|Kancelar prezidenta republiky|119 08|Praha 1-Hrad|Praha|Hlavni mesto Praha||Obstaravani veci spojenych: a) s vykonem pravomoci prezidenta republiky stanovenych Ustavou Ceske republiky, ustavnimi zakony a zakony, b) s protokolarnimi povinnostmi a verejnou cinnosti prezidenta republiky|||Prirucni knihovna historicke, archivni a umenovedne literatury Kancelare prezidenta republiky|6076|zakladni se specializovanym knihovnim fondem|justice, vlada, parlament, prezident|Kancelar prezidenta republiky|119 08|Praha 1-Hrad|Praha|Hlavni mesto Praha|| || ||ABE158|2004-10-27|2004-10-26 00:00:00|Holub|||A|| ||k 16591/2004|
Obec Kvasiny|275026|Kvasiny 81|517 02|Kvasiny|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Mistni knihovna v Kvasinach|6077|zakladni|public|Kvasiny 81|517 02|Kvasiny|Rychnov nad Kneznou|Kralovehradecky|| || || |2004-10-29|2004-10-27 00:00:00|Holub|||A|| ||k 16590/2004|
Obec Lechotice|287407|Lechotice 100|768 52|Miskovice|Kromeriz|Zlinsky||obecni urad|||Obecni knihovna Lechotice|6078|zakladni|public|Lechotice 100|768 52|Miskovice|Kromeriz|Zlinsky|| || || |2004-11-04|2004-11-03 00:00:00|Holub|||A|| ||k 16940/2004|
Obec Mezoun|233587|Mezoun 72|267 18|Karlstejn|Beroun|Stredocesky||obecni urad|||Mistni knihovna v Mezouni|6079|zakladni|public|Mezoun 16|267 18|Karlstejn|Beroun|Stredocesky|| || || |2004-11-04|2004-11-03 00:00:00|Holub|||A|| ||k 16865/2004|
Stredni zdravotnicka skola a Vyssi odborna zdravotnicka skola, Ostrava, prispevkova organizace|600920|Jeremenkova 2|703 00|Ostrava - Vitkovice|Ostrava-mesto|Moravskoslezsky||poskytovani stredniho a vyssiho odborneho vzdelani|||Skolni knihovna Stredni zdravotnicke skoly a vyssi odborne skoly zdravotnicke, Ostrava, p.o.|6080|zakladni se specializovanym knihovnim fondem|SS, VOS, SS a VOS, jazykove|1. maje 11|709 00|Ostrava - Marianske Hory|Ostrava-mesto|Moravskoslezsky|| || || |2004-11-09|2004-11-08 00:00:00|Holub|||A|| ||k 17529/2004|
Pamatnik Antonina Dvoraka ve Vysoke u Pribrami|48956341|Vysoka u Pribrami 69|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Knihovna Pamatniku Antonina Dvoraka ve Vysoke u Pribrami|6081|zakladni se specializovanym knihovnim fondem|kultura|Vysoka u Pribrami 69|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky|| || || |2004-12-06|2004-11-10 00:00:00|Holub|||A|| ||k 17633/2004|
Nemocnice Rudolfa a Stefanie Benesov, a. s., nemocnice Stredoceskeho kraje|27253236|Machova 400|256 30|Benesov|Benesov|Stredocesky||poskytovani zdravotnicke pece|||Lekarska knihovna Nemocnice Rudolfa a Stefanie Benesov|6082|zakladni se specializovanym knihovnim fondem|lekarska|Machova 400|256 30|Benesov|Benesov|Stredocesky|| || ||BNE201|2004-12-07|2004-11-16 00:00:00|Holub|2005-11-15 00:00:00|St. Firstova|A||||k 17722/2004|
Cesta domu, z.u. |26528843|Heleny Kocvarove 1583/1|140 00|Praha 4-Michle|Praha|Hlavni mesto Praha||poskytovani paliativni pece|||Knihovna Cesty domu|6083|zakladni se specializovanym knihovnim fondem|public|Heleny Kocvarove 1583/1|140 00|Praha 4-Michle|Praha|Hlavni mesto Praha|| |knihovna.cestadomu.cz| || |2004-12-08|2004-11-19 00:00:00|Holub|2019-10-23 00:00:00|S. Polakova|A|| ||"k 18051/2004,
MK 70735/2019 OULK"|
Obec Jikev|239216|Jikev 120|289 32|Oskorinek|Nymburk|Stredocesky||obecni urad|||Obecni knihovna v Jikvi|6084|zakladni|public|Jikev 120|289 32|Oskorinek|Nymburk|Stredocesky|| || || |2004-12-08|2004-11-19 00:00:00|Holub|2024-10-11 00:00:00|P. Dolezalova|A|| ||k 17374/2004, MK 78105/2024 OUKKO|
Obec Javornice|274933|Javornice 3|517 11|Javornice|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Mistni knihovna Javornice|6085|zakladni|public|Javornice 3|517 11|Javornice|Rychnov nad Kneznou|Kralovehradecky|| || || |2004-12-08|2004-11-22 00:00:00|Holub|||A|| ||k 18494/2004|
